Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:

Point (14.0645, 249.8681, 149.8754) connects to:
    Branch Segment 2
    Branch Segment 3

        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz          C       Area
   14.3243    75.5103   149.9769     0.0000     1.0000     0.0000     0.8349    -0.0000     0.5504     0.5504    -0.0000    -0.8349     0.0000   488.8773
   14.3244    76.0098   149.9769     0.0000     1.0000     0.0000     0.7167    -0.0000    -0.6974    -0.6974     0.0000    -0.7167     0.0000   488.8797
   14.3244    76.5094   149.9769     0.0000     1.0000     0.0000    -0.7565     0.0000     0.6540     0.6540    -0.0000     0.7565     0.0000   488.8822
   14.3244    77.0090   149.9769     0.0000     1.0000     0.0000     0.7590    -0.0000    -0.6511    -0.6511     0.0000    -0.7590     0.0000   488.8846
   14.3244    77.5086   149.9769     0.0000     1.0000     0.0000    -0.7592     0.0000     0.6509     0.6509    -0.0000     0.7592     0.0000   488.8871
   14.3244    78.0082   149.9769     0.0000     1.0000     0.0000     0.7592    -0.0000    -0.6508    -0.6508     0.0000    -0.7592     0.0000   488.8896
   14.3244    78.5077   149.9769     0.0000     1.0000     0.0000     0.7592    -0.0000    -0.6508    -0.6508     0.0000    -0.7592     0.0000   488.8920
   14.3244    79.0073   149.9769     0.0000     1.0000     0.0000    -0.7592     0.0000     0.6508     0.6508    -0.0000     0.7592     0.0000   488.8945
   14.3244    79.5069   149.9769     0.0000     1.0000     0.0000     0.7592    -0.0000    -0.6509    -0.6509     0.0000    -0.7592     0.0000   488.8970
   14.3245    80.0065   149.9769     0.0000     1.0000     0.0000    -0.7590     0.0000     0.6511     0.6511    -0.0000     0.7590     0.0000   488.8995
   14.3245    80.5061   149.9769     0.0000     1.0000     0.0000     0.7561    -0.0000    -0.6545    -0.6545     0.0000    -0.7561     0.0000   488.9020
   14.3245    81.0057   149.9769     0.0000     1.0000     0.0000    -0.7153     0.0000     0.6988     0.6988    -0.0000     0.7153     0.0000   488.9045
   14.3245    81.5052   149.9769     0.0000     1.0000     0.0000     0.2879     0.0000    -0.9577    -0.9577     0.0000    -0.2879     0.0000   488.9069
   14.3245    82.0048   149.9770     0.0000     1.0000     0.0000     0.1893    -0.0000     0.9819     0.9819    -0.0000    -0.1893     0.0000   488.9095
   14.3245    82.5044   149.9770     0.0000     1.0000     0.0000    -0.2433     0.0000    -0.9700    -0.9700     0.0000     0.2433     0.0000   488.9119
   14.3245    83.0040   149.9770     0.0000     1.0000     0.0000     0.2472    -0.0000     0.9690     0.9690    -0.0000    -0.2472     0.0000   488.9145
   14.3246    83.5036   149.9770     0.0000     1.0000     0.0000    -0.2475     0.0000    -0.9689    -0.9689     0.0000     0.2475     0.0000   488.9170
   14.3246    84.0031   149.9770     0.0000     1.0000     0.0000     0.2475    -0.0000     0.9689     0.9689    -0.0000    -0.2475     0.0000   488.9196
   14.3246    84.5027   149.9770     0.0000     1.0000     0.0000    -0.2475     0.0000    -0.9689    -0.9689     0.0000     0.2475     0.0000   488.9221
   14.3246    85.0023   149.9770     0.0000     1.0000     0.0000     0.2475    -0.0000     0.9689     0.9689    -0.0000    -0.2475     0.0000   488.9246
   14.3246    85.5019   149.9770     0.0000     1.0000     0.0000    -0.2475     0.0000    -0.9689    -0.9689     0.0000     0.2475     0.0000   488.9271
   14.3246    86.0015   149.9770     0.0000     1.0000     0.0000     0.2472    -0.0000     0.9690     0.9690    -0.0000    -0.2472     0.0000   488.9296
   14.3246    86.5010   149.9770     0.0000     1.0000     0.0000    -0.2430     0.0000    -0.9700    -0.9700     0.0000     0.2430     0.0000   488.9322
   14.3247    87.0006   149.9770     0.0000     1.0000     0.0000     0.1891    -0.0000     0.9820     0.9820    -0.0000    -0.1891     0.0000   488.9348
   14.3247    87.5002   149.9770     0.0000     1.0000     0.0000     0.1127     0.0000    -0.9936    -0.9936     0.0000    -0.1127     0.0000   488.9373
