Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:


        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz          C       Area
    6.1028     6.0378   347.4842    -0.0236     0.0399    -0.9989     0.5092    -0.8594    -0.0464    -0.8603    -0.5098    -0.0000     0.0004   112.6565
    6.0910     6.0579   346.9848    -0.0240     0.0404    -0.9989    -0.5458     0.8366     0.0470     0.8376     0.5463     0.0020     0.0029   112.6598
    6.0791     6.0779   346.4854    -0.0228     0.0387    -0.9990     0.5473    -0.8358    -0.0449    -0.8366    -0.5477    -0.0021     0.0112   112.6490
    6.0692     6.0949   345.9859    -0.0153     0.0272    -0.9995     0.5520    -0.8332    -0.0311    -0.8337    -0.5522    -0.0023     0.0438   112.5901
    6.0633     6.1059   345.4862    -0.0109     0.0204    -0.9997    -0.5805     0.8139     0.0229     0.8142     0.5806     0.0030     0.0114   112.5654
    6.0574     6.1168   344.9864    -0.0120     0.0226    -0.9997     0.9706    -0.2400    -0.0170    -0.2403    -0.9705    -0.0191     0.0023   112.5721
    6.0515     6.1278   344.4867    -0.0120     0.0207    -0.9997    -0.3222    -0.9465    -0.0157    -0.9466     0.3219     0.0180     0.0074   112.5675
    6.0457     6.1387   343.9869    -0.0108     0.0261    -0.9996     0.2475     0.9686     0.0226     0.9688    -0.2471    -0.0169     0.0296   112.5802
    6.0398     6.1497   343.4872    -0.0157     0.0063    -0.9999    -0.2422    -0.9702    -0.0024    -0.9701     0.2421     0.0167     0.1111   112.5514
    6.0297     6.1439   342.9875    -0.0224    -0.0207    -0.9995    -0.1527    -0.9880     0.0239    -0.9880     0.1532     0.0190     0.0005   112.5877
